,Speech,Mean_Score
0,SUB016_SPEECH001,3.1666666666666665
1,SUB021_SPEECH001,5.166666666666667
2,SUB026_SPEECH002,7.033333333333333
3,SUB032_SPEECH001,7.166666666666667
4,SUB047_SPEECH001,7.433333333333334
5,SUB062_SPEECH001,7.166666666666667
6,SUB063_SPEECH002,5.633333333333334
7,SUB072_SPEECH002,6.7
8,SUB007_SPEECH002,5.6
9,SUB029_SPEECH002,5.766666666666667
10,SUB070_SPEECH002,5.766666666666667
11,SUB035_SPEECH001,6.3
12,SUB002_SPEECH001,3.6333333333333333
13,SUB008_SPEECH001,3.7
14,SUB027_SPEECH002,6.8
15,SUB039_SPEECH001,6.066666666666666
16,SUB045_SPEECH002,4.966666666666667
17,SUB077_SPEECH002,7.766666666666667
18,SUB050_SPEECH002,5.133333333333334
19,SUB056_SPEECH001,7.9
20,SUB059_SPEECH001,6.633333333333334
21,SUB065_SPEECH001,7.0
22,SUB075_SPEECH001,6.966666666666667
23,SUB078_SPEECH001,7.4
