SUB002_SPEECH001,SUB008_SPEECH001,SUB027_SPEECH002,SUB039_SPEECH001,SUB045_SPEECH002,SUB077_SPEECH002,SUB050_SPEECH002,SUB056_SPEECH001,SUB059_SPEECH001,SUB065_SPEECH001,SUB075_SPEECH001,SUB078_SPEECH001,age,sex
4,5,7,7,6,6,5,8,6,5,5,7,25,1
3,5,8,6,5,5,7,6,4,7,6,7,55,1
6,4,8,7,6,7,5,8,8,8,6,9,38,2
6,5,7,6,6,9,7,8,8,7,8,8,30,1
6,8,7,7,7,7,7,7,8,7,8,7,45,2
3,3,4,5,4,6,4,7,6,8,5,4,39,2
6,4,7,6,6,8,8,8,7,7,5,8,44,1
3,2,5,4,6,10,1,6,7,8,8,9,20,1
5,3,6,8,3,5,7,10,4,4,9,9,47,2
3,3,4,4,4,7,5,6,8,6,7,6,53,2
4,5,8,7,7,9,6,8,7,9,8,9,27,1
1,7,10,1,4,10,2,10,2,10,4,3,52,1
3,4,9,4,3,8,8,9,8,6,8,5,36,1
8,9,9,7,5,8,4,8,5,8,7,8,66,1
7,4,6,5,6,6,6,7,7,6,8,7,24,1
1,1,6,8,2,8,4,5,8,3,6,7,26,2
2,3,8,9,9,8,4,9,9,9,6,9,37,2
2,1,9,10,3,9,6,8,10,4,8,8,27,2
3,3,1,6,2,10,3,8,7,7,7,8,32,2
1,1,10,10,10,10,10,10,9,10,9,10,39,2
3,3,5,4,7,8,6,8,7,7,5,6,41,1
3,2,9,7,9,7,5,9,8,8,9,10,35,2
2,1,8,5,3,8,2,10,3,10,7,9,34,1
4,4,5,5,3,6,5,7,5,3,5,6,52,1
2,2,2,3,2,7,1,6,2,6,4,3,47,1
6,6,7,6,6,8,7,7,7,7,8,8,40,2
3,2,9,6,4,8,6,9,7,9,8,10,38,2
1,4,10,8,5,9,7,10,10,10,10,10,35,2
3,3,5,4,2,8,3,7,6,5,7,6,29,1
5,4,5,7,4,8,3,8,6,6,8,6,23,2
