Speech#,Rater_1,Rater_2,Rater_3,Rater_4,Rater_5,Rater_6,Rater_7,Rater_8,Rater_9,Rater_10,Rater_11,Rater_12,Rater_13,Rater_14,Rater_15,Rater_16,Rater_17,Rater_18,Rater_19,Rater_20,Rater_21,Rater_22,Rater_23,Rater_24,Rater_25,Rater_26,Rater_27,Rater_28,Rater_29,Rater_30
SUB016_SPEECH001,3,1,3,6,5,1,1,4,2,1,4,7,1,8,6,5,1,1,3,1,2,9,2,3,1,2,6,1,1,4
SUB021_SPEECH001,4,3,6,6,6,2,6,8,7,5,3,7,5,7,7,6,2,10,4,3,5,5,4,5,6,4,4,5,6,4
SUB026_SPEECH002,7,9,7,8,6,9,6,7,6,9,5,7,5,9,8,8,6,8,9,8,6,8,9,7,5,6,5,3,10,5
SUB032_SPEECH001,4,7,8,7,7,5,6,8,9,6,8,8,8,9,7,7,4,9,7,9,8,7,10,7,6,4,7,9,8,6
SUB047_SPEECH001,6,10,8,10,6,6,5,10,9,9,7,7,6,9,7,9,3,9,9,5,10,8,10,4,6,10,3,7,9,6
SUB062_SPEECH001,4,8,7,7,5,5,7,9,5,9,6,8,7,8,8,8,9,6,10,6,7,7,9,9,5,8,7,10,5,6
SUB063_SPEECH002,4,3,8,6,6,5,6,9,9,2,7,7,4,8,6,8,4,1,8,6,1,5,10,9,3,8,2,2,7,5
SUB072_SPEECH002,8,5,7,7,6,7,6,9,7,8,7,8,8,9,7,7,5,8,5,8,9,7,8,5,6,5,2,3,8,6
SUB007_SPEECH002,4,4,6,6,5,4,6,10,7,4,5,7,4,7,9,8,6,5,5,4,6,8,4,4,2,6,4,8,5,5
SUB029_SPEECH002,4,7,4,6,7,4,3,9,6,1,6,8,6,8,9,7,8,1,9,5,6,6,10,8,1,5,7,4,2,6
SUB070_SPEECH002,8,6,6,7,5,4,5,9,6,4,8,6,5,8,8,8,3,1,7,7,6,4,4,2,1,9,7,7,7,5
SUB035_SPEECH001,4,6,5,9,6,7,4,10,5,3,7,6,8,8,8,8,7,1,4,4,8,8,9,4,5,6,6,7,9,7
